,0,1,2,3,4,5
244,G W Aldridge,15/11/1977,New Zealand,,2,1
245,J Alegra,09/08/1998,Philippines,,,16
246,Alestin Johnmary,15/04/1993,France,,,2
247,M C Alex,16/04/2004,Ivory Coast,,,5
248,A Alexander,07/11/2005,Indonesia,,,1
249,F C M Alexander,02/11/1928,West Indies,25,,
250,G Alexander,22/04/1851,Australia,2,,
251,H H Alexander,09/06/1905,Australia,1,,
252,R P Alexander,20/02/1973,United States,,2,
253,Alexander Dizija,09/02/1992,Serbia,,,25
254,A D Algar,05/02/1997,Spain,,,6
255,I Ali,25/09/1949,West Indies,12,,
256,I Ali,28/07/1954,West Indies,1,,
257,M M Ali,18/06/1987,England,68,138,92
258,R W Ali,19/11/1965,Kenya,,9,
259,Ali Abbas,02/04/1995,Saudi Arabia,,,1
260,Ali Abdulla Popalzae,01/01/1992,Greece,,,1
261,Ali Asad,06/12/1976,United Arab Emirates,,2,
262,Ali Dawood,01/12/1992,Bahrain,,,28
263,Ali Farasat,13/12/1992,Hungary,,,17
264,Ali Hasan,29/10/2002,Italy,,,6
265,Ali Hussain,14/01/1993,Romania,,,5
266,Ali Hussain Rizvi,06/01/1974,Pakistan,1,,
267,Ali Ivan,16/12/2001,Maldives,,,1
268,Ali Khan,13/12/1990,United States,,15,16
269,Ali Masood,16/08/1992,Estonia,,,23
270,Ali Mohammadipour,14/09/1994,Iran,,,3
271,Ali Muaaz,14/02/1999,Greece,,,4
272,Ali Naqi,14/10/1988,Portugal,,,4
273,Ali Naqvi,19/03/1977,Pakistan,5,,
274,Ali Naseer,09/03/2004,United Arab Emirates,,17,40
275,Ali Nayyer,22/10/1992,Switzerland,,,21
276,Ali Rasool,21/08/2002,Bulgaria,,,4
277,Ali Raza,20/01/1984,Belgium,,,20
278,Ali Raza,05/04/1995,Estonia,,,5
279,Ali Saleem,13/09/1979,Norway,,,21
280,Ali Turkmen,05/04/1992,Turkey,,,12
281,Ali Waqar,15/10/1994,Czech Republic,,,6
282,Ali Yalmaz,17/07/1998,Hungary,,,14
283,Ali Zaheer,08/02/1994,Kuwait,,,6
284,Alimuddin,15/12/1930,Pakistan,25,,
285,D I Allan,14/10/1991,Kenya,,5,10
286,D W Allan,05/11/1937,West Indies,5,,
287,F E Allan,02/12/1849,Australia,1,,
288,J Allan,18/11/1990,Vanuatu,,,16
289,P J Allan,31/12/1935,Australia,1,,
290,C F W Allcott,07/10/1896,New Zealand,6,,
291,D A Allen,29/10/1935,England,39,,
292,F A Allen,07/05/1995,West Indies,,20,39
293,F H Allen,22/04/1999,New Zealand,,22,47
294,G O B Allen,31/07/1902,England,25,,
295,I B A Allen,06/10/1965,West Indies,2,,
296,J Allen,23/08/1985,Brazil,,,2
297,R C Allen,02/07/1858,Australia,1,,
298,T P Allen,22/01/1987,United States,,,5
299,M W Alleyne,23/05/1968,England,,10,
300,M J D Allingham,06/01/1965,Scotland,,3,
301,M J C Allom,23/03/1906,England,5,,
302,G I Allott,24/12/1971,New Zealand,10,31,
303,P J W Allott,14/09/1956,England,13,13,
304,Alok Kapali,01/12/1984,Bangladesh,17,69,7
305,G G Alta,09/09/1998,Turkey,,,8
306,H S Alta,25/05/1965,Turkey,,,4
307,K O Altamirano,18/04/2001,Costa Rica,,,1
308,Y J O Altamirano,18/04/2001,Costa Rica,,,2
309,A Amado,02/06/1994,Israel,,,3
310,Amadschah Ahmadzai,13/12/1999,Germany,,,1
311,R G A Amah,29/01/1981,Cameroon,,,17
312,K N Amalean,07/04/1965,Sri Lanka,2,8,
313,Aman Ali,29/09/1989,United Arab Emirates,,1,
314,Aman Maheshwari,03/03/1985,Croatia,,,12
315,Amandeep Singh,01/07/1995,Portugal,,,17
316,A S Amanpreet Sirah,06/12/2003,Philippines,,,14
317,Amar Naeem,18/06/1979,Austria,,,8
318,Amar Sharma,12/10/1978,Malta,,,36
319,L Amar Singh,04/12/1910,India,7,,
320,L Amarnath,11/09/1911,India,24,,
321,M Amarnath,24/09/1950,India,69,85,
322,S Amarnath,30/12/1948,India,10,3,
323,S W Ambris,23/03/1993,West Indies,6,16,
324,C E L Ambrose,21/09/1963,West Indies,98,176,
325,T R Ambrose,01/12/1982,England,11,5,1
326,Ameel Mauroof,18/08/1992,Maldives,,,30
327,Ameer Saiyed,09/04/1996,Botswana,,,16
328,M J G Amerasinghe,02/02/1954,Sri Lanka,2,,
329,M K D Amerasinghe,05/03/1978,Sri Lanka,1,8,
330,L E G Ames,03/12/1905,England,47,,
331,C J A Amini,14/04/1992,Papua New Guinea,,49,59
332,C R Amini,12/06/1984,Papua New Guinea,,2,
333,A Aminou,17/08/1995,Cameroon,,,17
334,Aminuddin Ramly,16/05/1990,Malaysia,,,23
335,Aminul Islam,06/11/1999,Bangladesh,,,10
336,Aminul Islam,02/02/1968,Bangladesh,13,39,
337,Aminul Islam Jnr,01/04/1975,Bangladesh,,1,
338,Aminullah Tanha,06/10/2004,Norway,,,3
339,Amir Ali,24/11/1978,Oman,,,10
340,Amir Elahi,01/09/1908,Pakistan,6,,
341,Amir Farooq,14/02/1995,Qatar,,,17
342,Amir Hamza,15/08/1991,Afghanistan,4,31,33
343,Amir Hamza,23/06/1997,Spain,,,4
344,Amir Hayat,28/08/1982,United Arab Emirates,,9,4
345,Amir Mangal,01/01/1989,Germany,,,10
346,Amir Shahzad,11/06/1989,Saudi Arabia,,,1
347,Amir Sharif,08/06/1992,Italy,,,3
348,Amir Zaib,05/12/1980,Portugal,,,23
349,D L Amiss,07/04/1943,England,50,18,
350,Amjad Ali,25/09/1979,United Arab Emirates,,17,5
351,Amjad Gul,25/02/1989,United Arab Emirates,,,4
352,Amjad Javed,05/07/1980,United Arab Emirates,,15,22
353,Amjad Mahboob,01/02/1981,Singapore,,,30
354,Amjad Sher,11/11/1986,Finland,,,33
355,H M Amla,31/03/1983,South Africa,124,181,44
356,Ammad Uddin,23/04/1976,Bahrain,,,12
357,Ammar Khalid,29/06/1987,Canada,,4,7
358,Ammar Zuhidi Hazalan,,Malaysia,,,3
359,Amoluk Singh,23/06/1975,Ghana,,,15
360,P K Amre,14/08/1968,India,11,37,
361,M K Anafie,23/05/1988,Ghana,,,10
362,Anam Molik,30/05/1989,Italy,,,2
363,Anamul Haque,16/12/1992,Bangladesh,5,49,20
364,Anand Mongar,07/02/2005,Bhutan,,,2
365,P K Ananya,23/06/1988,Ghana,,,4
366,Anas Khan,26/02/1993,Hong Kong,,,22
367,Anasim Khan,12/03/1979,Bahrain,,,12
368,C J Anderson,13/12/1990,New Zealand,13,49,42
369,J Anderson,06/10/1982,Ireland,,8,4
370,J H Anderson,26/04/1874,South Africa,1,,
371,J M Anderson,30/07/1982,England,188,194,19
