,0,1,2,3,4,5
3613,S Loday,,Bhutan,,,16
3614,J N Loftie-Eaton,15/03/2001,Namibia,,40,39
3615,A L Logie,28/09/1960,West Indies,52,158,
3616,G A Lohmann,02/06/1865,England,18,,
3617,D B Loic,16/11/1998,Cameroon,,,21
3618,K S Lokuarachchi,20/05/1982,Sri Lanka,4,21,2
3619,J Long,12/07/1983,Philippines,,,2
3620,C H Lonsdale,15/09/1987,Bermuda,,1,
3621,B P Loots,19/04/1979,Netherlands,,7,
3622,A G R Loudon,06/09/1980,England,,1,
3623,M Louis,19/08/2000,West Indies,8,,
3624,J Louw,12/04/1979,South Africa,,3,2
3625,J L Louw,19/06/1959,Namibia,,1,
3626,L Louwrens,24/04/1999,Namibia,,26,1
3627,H S B Love,10/08/1895,Australia,1,,
3628,J D Love,22/04/1955,England,,3,
3629,M L Love,30/03/1974,Australia,5,,
3630,Lovepreet Singh,05/12/2002,United Arab Emirates,,2,
3631,G R Loveridge,15/01/1975,New Zealand,1,,
3632,T C Lowry,17/02/1898,New Zealand,7,,
3633,F A Lowson,01/07/1925,England,7,,
3634,S J E Loxton,29/03/1921,Australia,12,,
3635,M B Loye,27/09/1972,England,,7,
3636,W J Lubbe,22/11/1992,South Africa,,,2
3637,S W Lubbers,24/03/1953,Netherlands,,4,
3638,A P Lucas,20/02/1857,England,5,,
3639,Lucas Maximo,30/12/2000,Brazil,,,4
3640,B W Luckhurst,05/02/1939,England,21,3,
3641,Lucky Ali,20/10/2003,Denmark,,,21
3642,K D A Lukies,06/03/2007,Philippines,,,21
3643,M J Lumb,12/02/1980,England,,3,27
3644,E B Lundie,15/03/1888,South Africa,1,,
3645,T Lungameni,17/04/1992,Namibia,,31,38
3646,Luo Shilin,14/11/2004,China,,,11
3647,A S Luseno,20/12/1981,Kenya,,10,
3648,R Lutaaya,15/03/2003,Uganda,,,20
3649,Luvsanzzundui Erdenebulgan,07/11/2004,Mongolia,,,15
3650,M A Lynch,21/05/1958,England,,3,
3651,C A Lynn,10/04/1990,Australia,,4,18
3652,N M Lyon,20/11/1987,Australia,134,29,2
3653,J J Lyons,21/05/1863,Australia,14,,
3654,R T Lyons,08/12/1984,Scotland,,25,2
3655,A Lyth,25/09/1987,England,7,,
3656,A Lyttelton,07/02/1857,England,4,,
3657,No. of Records = 201,,,,,
3658,,,,Detailed Profiles & Statistics,,
3659,Name,Born,Country (Current),Tests,ODIs,T20s
3660,M Sohel Patel,23/03/1992,Panama,,,15
3661,Ma Qiancheng,10/12/2004,China,,,11
3662,Maaz Khan,28/04/1997,Lesotho,,,23
3663,Maaz Patel,27/02/2005,Eswatini,,,1
3664,Mabsar Abdulla,17/03/2007,Maldives,,,2
3665,T M Macalou,11/02/1995,Mali,,,15
3666,C G Macartney,27/06/1886,Australia,35,,
3667,G G Macaulay,07/12/1897,England,8,,
3668,M J Macaulay,19/04/1939,South Africa,1,,
3669,J C W MacBryan,22/07/1892,England,1,,
3670,P D Macchi,21/01/1995,Oman,,1,
3671,A R MacGibbon,28/08/1924,New Zealand,26,,
3672,S C G MacGill,25/02/1971,Australia,44,3,
3673,G MacGregor,31/08/1869,England,8,,
3674,C C Machado,28/02/2004,Brazil,,,5
3675,M Machado,02/07/1997,Portugal,,,8
3676,M W Machan,15/02/1991,Scotland,,23,13
3677,K Macheka,25/09/2000,Zimbabwe,,,
3678,A J Mackay,13/06/1967,Zimbabwe,,3,
3679,K D Mackay,24/10/1925,Australia,37,,
3680,F A MacKinnon,09/04/1848,England,1,,
3681,T S S Mackintosh,11/01/2003,Scotland,,10,2
3682,A C MacLaren,01/12/1871,England,35,,
3683,J A Maclean,27/04/1946,Australia,4,2,
3684,K H MacLeay,02/04/1959,Australia,,16,
3685,C S MacLeod,15/11/1988,Scotland,,88,64
3686,D V Macome,18/12/2003,Mozambique,,,18
3687,N J MacRae,25/03/1972,Scotland,,2,
3688,S Madan Lal,20/03/1951,India,39,67,
3689,C Madande,12/04/2000,Zimbabwe,1,16,35
3690,N J Maddinson,21/12/1991,Australia,3,,6
3691,L V Maddocks,24/05/1926,Australia,7,,
3692,D L Maddy,23/05/1974,England,3,8,4
3693,W N Madhevere,04/09/2000,Zimbabwe,2,36,73
3694,H A G Madhushanka,04/04/1992,Seychelles,,,2
3695,T N Madondo,22/11/1976,Zimbabwe,3,13,
3696,I S Madray,02/07/1934,West Indies,2,,
3697,W L Madsen,02/01/1984,Italy,,,4
3698,R S Madugalle,22/04/1959,Sri Lanka,21,63,
3699,S Maduranga,04/02/1988,South Korea,,,6
3700,A W R Madurasinghe,30/01/1961,Sri Lanka,3,12,
3701,S K D T Madusanka,05/03/1983,Seychelles,,,18
3702,P Madushan,14/12/1993,Sri Lanka,,9,8
3703,D S K Madushanka,10/04/1995,Sri Lanka,,1,2
3704,L D Madushanka,12/09/1992,Sri Lanka,,4,3
3705,L D Madushanka,18/09/2000,Sri Lanka,1,26,15
3706,N Madziva,02/08/1991,Zimbabwe,,12,15
3707,Mafizur Rahman,10/11/1978,Bangladesh,,4,
3708,P Magafas,17/04/1969,Greece,,,4
3709,M Magagula,26/11/1994,Eswatini,,,28
3710,N Magagula,17/12/2002,Eswatini,,,1
3711,S S B Magala,07/01/1991,South Africa,,8,6
3712,R P Magar,27/08/1992,Nepal,,,6
3713,A Magdalenic,16/04/1991,Croatia,,,9
3714,J N Maguire,15/09/1956,Australia,3,23,
3715,R Mahajan,07/02/1982,Philippines,,,3
3716,R S Mahanama,31/05/1966,Sri Lanka,52,213,
3717,K A Maharaj,07/02/1990,South Africa,57,44,39
3718,M F Maharoof,07/09/1984,Sri Lanka,22,109,8
3719,K Mahato,02/04/2000,Nepal,,2,
3720,Mahbubul Alam,01/12/1983,Bangladesh,4,5,
3721,Mahbubur Rahman,01/02/1969,Bangladesh,,1,
3722,Mahedi Hasan,12/12/1994,Bangladesh,,11,54
3723,J P Maher,27/02/1974,Australia,,26,
3724,Mahidul Islam Ankon,04/05/1999,Bangladesh,1,,
3725,Mahmad Data,29/05/1984,Panama,,,4
3726,S Mahmood,25/02/1997,England,2,9,18
3727,S I Mahmood,21/12/1981,England,8,26,4
3728,Mahmood Hamid,19/01/1969,Pakistan,,1,
3729,Mahmood Hussain,02/04/1932,Pakistan,27,,
3730,Mahmudul Hasan Joy,13/11/2000,Bangladesh,17,,3
3731,Mahmudullah,04/02/1986,Bangladesh,50,238,141
3732,C Mahoney,06/08/1981,Peru,,,3
3733,N B Mahwire,31/07/1982,Zimbabwe,10,23,
3734,M L Maiava,01/06/1985,Samoa,,,3
3735,G I Maiden,22/07/1979,Scotland,,7,3
3736,Maidul Islam,12/02/1990,Estonia,,,12
3737,Maiga Ibrahim,13/05/2003,Ivory Coast,,,4
3738,B F Mailata,30/01/1985,Samoa,,,4
3739,A A Mailey,03/01/1886,Australia,21,,
3740,G T Main,28/02/1995,Scotland,,16,16
3741,N A Maiolo,30/09/1994,Italy,,,8
3742,D Maisuria,06/08/1998,Botswana,,,37
3743,Majid Khan,28/09/1946,Pakistan,63,23,
3744,E S Maka,05/03/1922,India,2,,
3745,Z Makadji,25/10/2002,Mali,,,8
3746,J W H Makepeace,22/08/1881,England,4,,
3747,A Makesh,04/08/1991,Kuwait,,,4
3748,L Makgale,06/06/2001,Botswana,,,7
3749,T V Makoni,28/11/1999,Zimbabwe,2,,
3750,D J Malan,03/09/1987,England,22,30,62
3751,J N Malan,18/04/1996,South Africa,,23,11
3752,P J Malan,12/08/1989,South Africa,3,,
3753,Malangzai Mansoor,,Belgium,,,4
3754,P Malav,28/09/1985,Luxembourg,,,28
3755,C Malaya,24/01/2005,Malawi,,,5
3756,D E Malcolm,22/02/1963,England,40,10,
3757,A Malhotra,26/01/1957,India,7,20,
3758,J S Malhotra,04/11/1989,United States,,18,17
3759,W J Malinda,16/10/1991,Maldives,,,11
3760,D Malinga,,Eswatini,,,3
3761,S L Malinga,28/08/1983,Sri Lanka,30,226,84
3762,G Malla,16/09/1990,Nepal,,37,45
3763,M Malle,27/03/2000,Mali,,,10
3764,N A Mallender,13/08/1961,England,2,,
3765,A A Mallett,13/07/1945,Australia,38,9,
3766,S K R Mallidi,25/08/1997,Sweden,,,3
3767,M F Malone,09/10/1950,Australia,1,10,
3768,Mamoon Latif,09/08/1992,Belgium,,,11
3769,V Manakitoga,12/09/1989,Fiji,,,2
3770,G Manan,03/03/1989,Romania,,,16
3771,Manan Bashir,05/07/2000,Bulgaria,,,3
3772,D Manani,18/03/1982,Romania,,,3
3773,A Manatos,30/11/2006,Greece,,,2
3774,A K Mandal,05/02/1991,Nepal,,,2
3775,Mandeep Singh,18/12/1991,India,,,3
3776,Mandeep Singh,01/03/1992,Norway,,,5
3777,T Manders,30/01/1995,Bermuda,,,25
3778,H V Mandhyan,20/10/1990,Hungary,,,21
3779,M S S Mandy,20/10/1990,Chile,,,4
3780,B A D Manenti,23/03/1997,Italy,,,5
3781,H J Manenti,05/10/2000,Italy,,,15
3782,A Manepalli,25/09/1987,Luxembourg,,,8
3783,Mangala Gunasekara,30/10/1986,Cyprus,,,11
3784,G Mangau,29/04/2000,Vanuatu,,,3
3785,S G Mangela,01/04/1988,Uganda,,,10
3786,R Mangera,26/04/1989,Panama,,,4
3787,Maninder Singh,13/06/1965,India,35,59,
3788,Manish Sharma,11/07/1977,Cambodia,,,10
3789,O Manishimwe,15/09/2002,Rwanda,,,74
3790,M F Manjate,18/02/1996,Mozambique,,,7
3791,S V Manjrekar,12/07/1965,India,37,74,
3792,V L Manjrekar,26/09/1931,India,55,,
3793,Manjural Islam,07/11/1979,Bangladesh,17,34,
3794,Manjural Islam Rana,04/05/1984,Bangladesh,6,25,
3795,A V Mankad,12/10/1946,India,22,1,
3796,M H Mankad,12/04/1917,India,44,,
3797,A L Mann,08/11/1945,Australia,4,,
3798,F G Mann,06/09/1917,England,7,,
3799,F T Mann,03/03/1888,England,5,,
3800,N B F Mann,28/12/1920,South Africa,19,,
3801,K Manne,03/04/1995,Mexico,,,1
3802,P Manning,25/09/1990,Cayman Islands,,,13
3803,G A Manou,23/04/1979,Australia,1,4,
3804,A Manousis,19/08/1978,Greece,,,11
3805,Manpreet Singh,09/01/1985,Italy,,,20
3806,Manpreet Singh,05/10/1994,Singapore,,,40
3807,A Mansale,05/08/1988,Vanuatu,,,34
3808,I Mansaray,22/12/1992,Sierra Leone,,,4
3809,P N F Mansell,16/03/1920,South Africa,13,,
3810,Mansoor Akhtar,25/12/1957,Pakistan,19,41,
3811,Mansoor Amjad,14/12/1987,Pakistan,,1,1
3812,Mansoor Rana,27/12/1962,Pakistan,,2,
3813,M K Mantri,01/09/1921,India,4,,
3814,Manzoor Akhtar,16/04/1968,Pakistan,,7,
3815,Manzoor Elahi,15/04/1963,Pakistan,6,54,
3816,K T Maphaka,08/04/2006,South Africa,1,2,5
3817,L Maphane,12/01/2003,Botswana,,,4
3818,B Maphosa,28/03/2002,Botswana,,,10
3819,T T Maposa,29/08/2003,Zimbabwe,,1,1
3820,N K Mapunda,12/08/1991,Tanzania,,,7
3821,Maqsood Ahmad,15/03/1985,Belgium,,,6
3822,Maqsood Ahmed,26/03/1925,Pakistan,16,,
3823,Maqsood Rana,01/08/1972,Pakistan,,1,
3824,D S Maraiwai,22/05/1997,Fiji,,,9
3825,I Maraj,26/01/1969,Canada,,6,
3826,A Maregwede,05/08/1981,Zimbabwe,2,11,
3827,D A Marillier,24/04/1978,Zimbabwe,5,48,
3828,M Mariyappan,31/07/1996,Seychelles,,,3
3829,M Markande,11/11/1997,India,,,1
3830,L A Markham,12/09/1924,South Africa,1,,
3831,A K Markram,04/10/1994,South Africa,45,74,57
3832,D Marks,22/08/1986,Malta,,,6
3833,V J Marks,25/06/1955,England,6,34,
3834,J Marples,,Gibraltar,,,20
3835,A P Marr,28/03/1862,Australia,1,,
3836,C S Marriott,14/09/1895,England,1,,
3837,G R Marsh,31/12/1958,Australia,50,117,
3838,M R Marsh,20/10/1991,Australia,46,93,65
3839,R W Marsh,04/11/1947,Australia,96,92,
3840,S E Marsh,09/07/1983,Australia,38,73,15
3841,C A Marshall,13/09/1939,Canada,,2,
3842,H J H Marshall,15/02/1979,New Zealand,13,66,3
3843,J A H Marshall,15/02/1979,New Zealand,7,10,3
3844,M D Marshall,18/04/1958,West Indies,81,136,
3845,N E Marshall,27/02/1924,West Indies,1,,
3846,O M Marshall,09/05/1995,Peru,,,3
3847,R E Marshall,25/04/1930,West Indies,4,,
3848,X M Marshall,27/03/1986,West Indies,7,37,20
3849,Marshall Ayub,05/12/1988,Bangladesh,3,,
3850,D Marsic,06/08/1984,Croatia,,,9
3851,A Martel,23/09/1991,Guernsey,,,18
3852,D E Martel,17/11/1998,Guernsey,,,6
3853,J L Martel,11/06/1996,Guernsey,,,3
3854,A Martin,18/11/1982,West Indies,,9,1
3855,B P Martin,25/04/1980,New Zealand,5,,
3856,C S Martin,10/12/1974,New Zealand,71,20,6
3857,F Martin,12/10/1861,England,2,,
3858,F R Martin,12/10/1893,West Indies,9,,
3859,G C Martin,30/05/1966,Zimbabwe,,5,
3860,J C Martin,18/03/1995,Guernsey,,,4
3861,J J Martin,11/05/1972,India,,10,
3862,J W Martin,28/07/1931,Australia,8,,
3863,J W Martin,16/02/1917,England,1,,
3864,M Martin,06/08/1989,Switzerland,,,1
3865,P J Martin,15/11/1968,England,8,20,
3866,T Martin,03/05/2000,Luxembourg,,,6
3867,Martin Akayezu,24/10/2002,Rwanda,,,87
3868,E A Martindale,25/11/1909,West Indies,10,,
3869,D L Martinez,06/11/2001,Spain,,,2
3870,D R Martyn,21/10/1971,Australia,67,208,4
3871,T Maruma,19/04/1988,Zimbabwe,4,22,13
3872,T Marumani,02/01/2002,Zimbabwe,,18,42
3873,W F E Marx,04/07/1895,South Africa,3,,
3874,B Masaba,22/09/1991,Uganda,,,63
3875,H Masakadza,09/08/1983,Zimbabwe,38,209,66
3876,S W Masakadza,04/09/1986,Zimbabwe,5,16,7
3877,W P Masakadza,04/10/1993,Zimbabwe,3,39,61
3878,J K Masara,16/08/1991,Zimbabwe,,,1
3879,B Masauko,18/08/2004,Malawi,,,11
3880,A D Mascarenhas,30/10/1977,England,,20,14
3881,W T Mashinge,06/10/1996,Zimbabwe,,,2
3882,Mashrafe Mortaza,05/10/1983,Bangladesh,36,220,54
3883,P Masih,06/12/1986,Romania,,,3
3884,J R Mason,26/03/1874,England,5,,
3885,M J Mason,27/08/1974,New Zealand,1,26,3
3886,Masood Anwar,12/12/1967,Pakistan,1,,
3887,Masood Iqbal,17/04/1952,Pakistan,,1,
3888,Masood Jayezeh,21/03/1994,Iran,,,3
3889,J Masquater,12/08/1998,Tanzania,,,6
3890,S J Massiah,21/06/1979,United States,,2,
3891,H H Massie,11/04/1854,Australia,9,,
3892,R A L Massie,14/04/1947,Australia,6,3,
3893,I Master,22/04/1994,Botswana,,,6
3894,N Master,03/11/1991,Botswana,,,2
3895,P S Masvaure,07/10/1988,Zimbabwe,9,2,
3896,E Matambanadzo,13/04/1976,Zimbabwe,3,7,
3897,P K Matautaava,27/09/1991,Vanuatu,,,28
3898,J Matharu,06/09/1992,Canada,,,7
3899,A M Matheson,27/02/1906,New Zealand,2,,
3900,E Mathew,10/06/1994,Malta,,,17
3901,A D Mathews,02/06/1987,Sri Lanka,116,226,90
3902,D K Mathias,20/03/1991,Bahrain,,,16
3903,W Mathias,04/02/1935,Pakistan,21,,
3904,A W Mathieson,10/10/1989,New Zealand,,1,
3905,G E Mathurin,23/09/1983,West Indies,,,3
3906,I D Matic,12/02/1990,Croatia,,,2
3907,Matiullah Khan,01/03/1993,United Arab Emirates,,1,
3908,D Matla,27/08/1994,Slovenia,,,1
3909,M J Matsau,15/06/1999,Lesotho,,,14
3910,S Matsikenyeri,03/05/1983,Zimbabwe,8,113,10
3911,Z E Matsinhe,27/02/1999,Mozambique,,,22
3912,A D G Matthews,03/05/1904,England,1,,
3913,C D Matthews,22/09/1962,Australia,3,,
3914,C R Matthews,15/02/1965,South Africa,18,56,
3915,G R J Matthews,15/12/1959,Australia,33,59,
3916,T J Matthews,03/04/1884,Australia,8,,
3917,E H Mattis,11/04/1957,West Indies,4,2,
3918,B M Mauricette,04/09/1946,Canada,,3,
3919,D Mauro,31/10/1983,Argentina,,,4
3920,L F Mavume,01/06/2005,Mozambique,,,7
3921,B A Mavuta,04/03/1997,Zimbabwe,5,14,13
3922,L Maw,15/10/1995,Myanmar,,,2
3923,T M K Mawoyo,08/01/1986,Zimbabwe,11,7,
3924,W Maximo,30/12/2000,Brazil,,,9
3925,D E S Maxwell,23/02/1971,Canada,,10,
3926,G J Maxwell,14/10/1988,Australia,7,145,116
3927,P B H May,31/12/1929,England,66,,
3928,T B A May,26/01/1962,Australia,24,47,
3929,N P Mayavo,01/10/1992,Zimbabwe,,,1
3930,K R Mayers,08/09/1992,West Indies,18,28,38
3931,M P Maynard,21/03/1966,England,4,14,
3932,E R Mayne,02/07/1882,Australia,4,,
3933,L C Mayne,23/01/1942,Australia,6,,
3934,Mazhar Hussain,25/10/1967,United Arab Emirates,,7,
3935,Mazhar Khan,31/07/1986,Slovenia,,,5
3936,Mazharul Haque,03/07/1980,Bangladesh,,1,
3937,Mazharul Islam,01/01/1994,Seychelles,,,18
3938,R Mazumder,22/08/1993,Cyprus,,,18
3939,R Mbaiwa,14/06/2003,Botswana,,,3
3940,M Mbangwa,26/06/1976,Zimbabwe,15,29,
3941,V Mbazo,18/08/1999,Botswana,,,44
3942,H Mcaleer,02/12/2004,Isle of Man,,,5
3943,P A McAlister,11/07/1869,Australia,8,,
3944,A McAuley,05/02/1996,Isle of Man,,,23
3945,C McAuslan,01/06/1998,Hong Kong,,2,
3946,C M McBride,26/06/1999,Scotland,,18,
3947,A R McBrine,30/04/1993,Ireland,8,90,32
3948,S J McCabe,16/07/1910,Australia,39,,
3949,M J McCague,24/04/1969,England,3,,
3950,W K McCallan,27/08/1975,Ireland,,39,9
3951,N F I McCallum,22/11/1977,Scotland,,43,11
3952,R D McCann,11/01/1985,Ireland,,8,3
3953,G J McCarter,10/10/1992,Ireland,,1,3
3954,A M McCarthy,08/06/1987,West Indies,,2,1
3955,B J McCarthy,13/09/1992,Ireland,2,45,56
3956,C N McCarthy,24/03/1929,South Africa,15,,
3957,M J McClenaghan,11/06/1986,New Zealand,,48,29
3958,W McClintock,01/01/1997,Ireland,,,5
3959,J A McCollum,01/08/1995,Ireland,6,10,
3960,C E McConchie,12/01/1992,New Zealand,,6,12
3961,J E McConnon,21/06/1922,England,2,,
3962,C L McCool,09/12/1916,Australia,14,,
3963,E L McCormick,16/05/1906,Australia,12,,
3964,R B McCosker,11/12/1946,Australia,25,14,
3965,O C McCoy,04/01/1997,West Indies,,2,42
3966,B B McCullum,27/09/1981,New Zealand,101,260,71
3967,N L McCullum,01/09/1980,New Zealand,,84,63
3968,R J McCurdy,30/12/1959,Australia,,11,
3969,B R McDermott,12/12/1994,Australia,,5,25
3970,C J McDermott,14/04/1965,Australia,71,138,
3971,A B McDonald,05/06/1981,Australia,4,,
3972,C C McDonald,17/11/1928,Australia,47,,
3973,E A McDonald,06/01/1891,Australia,11,,
3974,P S McDonnell,13/11/1858,Australia,19,,
3975,P E McEwan,19/12/1953,New Zealand,4,17,
3976,C P McGahey,12/02/1871,England,2,,
3977,B E McGain,25/03/1972,Australia,1,,
3978,N C McGarrell,12/07/1972,West Indies,4,17,
3979,H M McGirr,05/11/1891,New Zealand,2,,
3980,P D McGlashan,22/06/1979,New Zealand,,4,11
3981,D J McGlew,11/03/1929,South Africa,34,,
3982,A McGrath,06/10/1975,England,4,14,
3983,G D McGrath,09/02/1970,Australia,124,250,2
3984,S N McGregor,18/12/1931,New Zealand,25,,
3985,J McIlwraith,07/09/1857,Australia,1,,
3986,T G McIntosh,04/12/1979,New Zealand,17,,
3987,A J W McIntyre,14/05/1918,England,3,,
3988,P E McIntyre,27/04/1966,Australia,2,,
3989,A J McKay,17/04/1980,New Zealand,1,19,2
3990,C J McKay,22/02/1983,Australia,1,59,6
3991,B J McKechnie,06/11/1953,New Zealand,,14,
3992,S S McKechnie,06/08/1991,Hong Kong,,8,30
3993,G D McKenzie,24/06/1941,Australia,60,1,
3994,K S A Mckenzie,09/11/2000,West Indies,6,,
3995,N D McKenzie,24/11/1975,South Africa,58,64,2
3996,G Mckeon,18/10/2003,France,,,20
3997,T R McKibbin,10/10/1870,Australia,5,,
3998,A H McKinnon,20/08/1932,South Africa,8,,
3999,J W McLaren,24/12/1887,Australia,1,,
4000,R McLaren,09/02/1983,South Africa,2,54,12
4001,Z Mclaughlin,24/05/1990,Cayman Islands,,,3
4002,N A M McLean,28/07/1973,West Indies,19,45,
4003,R A McLean,09/07/1930,South Africa,40,,
4004,C E Mcleod,24/10/1869,Australia,17,,
4005,E G McLeod,14/10/1900,New Zealand,1,,
4006,H McLeod,,East Africa,,2,
4007,R W McLeod,19/01/1868,Australia,6,,
4008,T G McMahon,08/11/1929,New Zealand,5,,
4009,J E P McMaster,16/03/1861,England,1,,
4010,B M McMillan,22/12/1963,South Africa,38,78,
4011,C D McMillan,13/09/1976,New Zealand,55,197,8
4012,Q McMillan,23/06/1904,South Africa,13,,
4013,E D A McMorris,04/04/1935,West Indies,13,,
4014,B J McMullen,18/10/1999,Scotland,,26,16
4015,D A N McRae,25/12/1912,New Zealand,1,,
4016,P G McShane,18/04/1858,Australia,3,,
4017,E B McSweeney,08/03/1957,New Zealand,,16,
4018,N A McSweeney,08/03/1999,Australia,3,,
4019,C A McWatt,01/02/1922,West Indies,6,,
4020,Md Nurul Huda,28/07/1990,Finland,,,5
4021,Md Shafiqul Haque,09/01/1987,Thailand,,,4
4022,C P Mead,09/03/1887,England,17,,
4023,N Mead,10/03/2008,Samoa,,,6
4024,W Mead,25/03/1868,England,1,,
4025,G P S Meade,19/03/1996,Italy,,,32
4026,M Meade,09/10/1970,Chile,,,1
4027,S C Meaker,21/01/1989,England,,2,2
4028,T Meale,11/11/1928,New Zealand,2,,
4029,Mecit Ozturk,01/01/1980,Turkey,,,12
4030,I Meckiff,06/01/1935,Australia,18,,
4031,J Mees,27/09/1978,Luxembourg,,,40
4032,Meet Bhavsar,23/06/2004,Kuwait,,,65
4033,K R Meherhomji,09/08/1911,India,1,,
4034,Mehidy Hasan Miraz,25/10/1997,Bangladesh,51,103,29
4035,A S Mehmi,06/01/1991,Greece,,,15
4036,A Mehmood,31/12/1988,Hong Kong,,,7
4037,A Mehmood,01/01/1985,Switzerland,,,7
4038,Mehmood Quaraishy,04/02/1942,East Africa,,3,
4039,V Mehra,17/10/1963,United Arab Emirates,,6,
4040,V L Mehra,12/03/1938,India,8,,
4041,Mehrab Hossain,22/09/1978,Bangladesh,9,18,
4042,Mehrab Hossain,08/07/1987,Bangladesh,7,18,2
4043,Mehran Dorri,30/07/1991,Iran,,,1
4044,Mehran Khan,13/04/1987,Oman,,4,48
4045,Mehran Siasar,04/03/1987,Iran,,,1
4046,D A Mehta,21/04/2003,Tanzania,,,4
4047,K D Mehta,06/05/1992,Czech Republic,,,3
4048,P S Mehta,30/11/1940,East Africa,,1,
4049,S Mehta,08/06/1985,Finland,,,5
4050,D J Meintjes,09/06/1890,South Africa,2,,
4051,K P Meiyappan,08/10/2000,United Arab Emirates,,31,15
4052,B Mejaro,17/05/2005,Lesotho,,,3
4053,D Mejia,14/08/1996,Costa Rica,,,3
4054,M G Melle,03/06/1930,South Africa,7,,
4055,A Melville,19/05/1910,South Africa,11,,
4056,M A Meman,26/06/1952,Zimbabwe,,1,
4057,B A W Mendis,11/03/1985,Sri Lanka,19,87,39
4058,B K G Mendis,02/02/1995,Sri Lanka,69,141,78
4059,B M A J Mendis,15/01/1983,Sri Lanka,,58,22
4060,L R D Mendis,25/08/1952,Sri Lanka,24,79,
4061,M C Mendis,28/12/1968,Sri Lanka,,1,
4062,P H K D Mendis,30/09/1998,Sri Lanka,10,17,23
4063,Ramesh Mendis,07/07/1995,Sri Lanka,15,4,4
4064,K Mendon,16/02/1989,Czech Republic,,,16
4065,I L Mendonca,13/07/1934,West Indies,2,,
4066,A Mene-Ejegi,07/12/1990,Serbia,,,13
4067,A B Mengoumou,17/07/2004,Cameroon,,,8
4068,J M Mennie,24/12/1988,Australia,1,2,
4069,A R Menon,10/01/2005,Singapore,,,1
4070,J H Mensah,29/07/1993,Ghana,,,2
4071,V M Merchant,12/10/1911,India,10,,
4072,R P Meredith,21/06/1996,Australia,,1,6
4073,W E Merritt,18/08/1908,New Zealand,6,,
4074,C A Merry,20/01/1911,West Indies,2,,
4075,C A J Meschede,21/11/1991,Germany,,,5
4076,K O Meth,08/02/1988,Zimbabwe,2,11,2
4077,K D Meuleman,05/09/1923,Australia,1,,
4078,E M Meuli,20/02/1926,New Zealand,1,,
4079,P L Mhambrey,20/06/1972,India,2,3,
4080,Mian Siddique,09/02/2000,Japan,,,3
4081,A J Michael,24/09/1985,Samoa,,,10
4082,D P Michael,08/10/1987,Samoa,,,10
4083,Michael Nazir,08/03/1978,Malta,,,1
4084,J Middleton,30/09/1865,South Africa,6,,
4085,W E Midwinter,19/06/1851,Australia,12,,
4086,Mien Mehmood,29/12/1976,Portugal,,,7
4087,Mihusan Hamid,06/06/1991,Maldives,,,1
4088,Milad Momend,01/01/2003,Luxembourg,,,6
4089,B D Milburn,24/11/1943,New Zealand,3,,
4090,C Milburn,23/10/1941,England,9,,
4091,Milen Gogev,11/05/1994,Bulgaria,,,7
4092,E J B Miles,26/06/1997,Jersey,,4,33
4093,Milind Kumar,15/02/1991,United States,,10,12
4094,A G Milkha Singh,31/12/1941,India,4,,
4095,A M Miller,19/10/1869,England,1,,
4096,C R Miller,06/02/1964,Australia,18,,
4097,D A Miller,10/06/1989,South Africa,,175,130
4098,G Miller,09/11/1969,Cook Islands,,,2
4099,G Miller,08/09/1952,England,34,25,
4100,K R Miller,28/11/1919,Australia,55,,
4101,L S M Miller,31/03/1923,New Zealand,13,,
4102,N O Miller,16/05/1982,West Indies,1,50,9
4103,R S Miller,24/12/1924,West Indies,1,,
4104,F W Milligan,19/03/1870,England,2,,
4105,G Millman,02/10/1934,England,6,,
4106,J P Millmow,22/09/1967,New Zealand,,5,
4107,C Mills,26/11/1867,South Africa,1,,
4108,J E Mills,03/09/1905,New Zealand,7,,
4109,K D Mills,15/03/1979,New Zealand,19,170,42
4110,S Mills,15/09/1998,Isle of Man,,,1
4111,T S Mills,12/08/1992,England,,,16
4112,A F Milne,13/04/1992,New Zealand,,50,53
4113,C A Milton,10/03/1928,England,6,,
4114,W H Milton,03/12/1854,South Africa,3,,
4115,M J Mindley,29/12/1994,West Indies,1,1,
4116,Minhajul Abedin,25/09/1965,Bangladesh,,27,
4117,R B Minnett,13/06/1888,Australia,9,,
4118,D A Minors,06/01/1970,Bermuda,,20,
4119,Mir Hamza,10/09/1992,Pakistan,7,,
4120,Miran Bakhsh,20/04/1907,Pakistan,2,,
4121,J M Miranda,19/09/1997,Costa Rica,,,1
4122,S F Mire,21/08/1989,Zimbabwe,2,47,9
4123,K Mirpuri,27/11/1987,Gibraltar,,,22
4124,Mirwais Ashraf,30/06/1988,Afghanistan,,46,25
4125,Mirza Ahmed,11/04/2004,Kuwait,,,6
4126,Mirza Ahsan,15/11/1988,Austria,,,31
4127,Mirza Baig,11/03/1999,Pakistan,,,3
4128,Mirza Mohammed Baig,05/10/1994,Qatar,,,14
4129,Misbah-ul-Haq,28/05/1974,Pakistan,75,162,39
4130,RVPK Mishara,24/04/2001,Sri Lanka,,,3
4131,A Mishra,24/11/1982,India,22,36,10
4132,G Mishra,15/10/1991,Romania,,,12
4133,P Mishra,09/01/1979,Bulgaria,,,50
4134,T Mishra,22/12/1986,Kenya,,42,15
